cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r50000-1ms-tick1000-wt2,base,5,1,50000,1ms,1000,2,512,1024,0-3,0,499940.0,0,49994.0,11.031,1852.44,3037582193,3899723507,17727,4,32320945
r50000-1ms-tick1000-wt2,cand,5,2,50000,1ms,1000,2,512,1024,0-3,0,499914.0,0,49991.4,10.030,1720.58,2927533397,3914454930,17733,7,31068367
r150000-1ms-tick1000-wt2,base,0,warmup,150000,1ms,1000,2,512,1024,0-3,0,1499776.0,0,149977.6,11.029,4864.98,8208628834,10694641163,16184,4,100647383
r150000-1ms-tick1000-wt2,cand,0,warmup,150000,1ms,1000,2,512,1024,0-3,0,1499715.0,0,149971.5,10.030,5113.46,7913907866,10699960413,15088,5,102507719
r150000-1ms-tick1000-wt2,base,1,1,150000,1ms,1000,2,512,1024,0-3,0,1499817.0,0,149981.7,11.029,5082.55,8032205654,10663945264,15900,4,101177851
r150000-1ms-tick1000-wt2,cand,1,2,150000,1ms,1000,2,512,1024,0-3,0,1499781.0,0,149978.1,10.030,5256.17,8004233616,10719065638,15082,2,101491055
r150000-1ms-tick1000-wt2,cand,2,1,150000,1ms,1000,2,512,1024,0-3,0,1499699.0,0,149969.9,10.028,5256.66,7826873555,10699112925,14774,4,102306197
r150000-1ms-tick1000-wt2,base,2,2,150000,1ms,1000,2,512,1024,0-3,0,1499655.0,0,149965.5,11.029,5315.28,8067288499,10678241141,15992,2,100374576
r150000-1ms-tick1000-wt2,base,3,1,150000,1ms,1000,2,512,1024,0-3,0,1499758.0,0,149975.8,11.030,5253.53,8076983565,10680401560,15771,2,101275128
r150000-1ms-tick1000-wt2,cand,3,2,150000,1ms,1000,2,512,1024,0-3,0,1499757.0,0,149975.7,10.028,5311.75,8240659479,10737082806,15034,5,104385056
r150000-1ms-tick1000-wt2,cand,4,1,150000,1ms,1000,2,512,1024,0-3,0,1499669.0,143.0,149966.9,10.031,4871.21,7914379967,10710880148,15322,4,100068953
r150000-1ms-tick1000-wt2,base,4,2,150000,1ms,1000,2,512,1024,0-3,0,1499652.0,0,149965.2,11.030,5091.08,7622930535,10630177824,15666,5,102292449
r150000-1ms-tick1000-wt2,base,5,1,150000,1ms,1000,2,512,1024,0-3,0,1499794.0,0,149979.4,11.030,5381.36,8222851020,10684582328,15927,2,101780307
r150000-1ms-tick1000-wt2,cand,5,2,150000,1ms,1000,2,512,1024,0-3,0,1499799.0,0,149979.9,10.029,5265.32,7806020895,10696586688,14943,0,102603606
r250000-1ms-tick1000-wt2,base,0,warmup,250000,1ms,1000,2,512,1024,0-3,0,2391923.0,107786.0,239192.3,11.030,8008.53,12209846807,17005482835,16468,6,173412420
r250000-1ms-tick1000-wt2,cand,0,warmup,250000,1ms,1000,2,512,1024,0-3,0,2499417.0,0,249941.7,10.030,8870.30,13098482124,17710227538,15686,2,178112846
r250000-1ms-tick1000-wt2,base,1,1,250000,1ms,1000,2,512,1024,0-3,0,2377900.0,121620.0,237790.0,11.031,7892.60,11752747249,16905883488,17158,2,172461891
r250000-1ms-tick1000-wt2,cand,1,2,250000,1ms,1000,2,512,1024,0-3,0,2499686.0,5.0,249968.6,10.034,8974.79,13437845907,17646963721,13602,8,178168547
r250000-1ms-tick1000-wt2,cand,2,1,250000,1ms,1000,2,512,1024,0-3,0,2499511.0,0,249951.1,10.030,8505.68,12744483552,17650225915,15507,6,177348116
r250000-1ms-tick1000-wt2,base,2,2,250000,1ms,1000,2,512,1024,0-3,0,2392990.0,106458.0,239299.0,11.030,8177.56,12176245228,17072680617,17456,2,172783818
r250000-1ms-tick1000-wt2,base,3,1,250000,1ms,1000,2,512,1024,0-3,0,2403672.0,95981.0,240367.2,11.031,8494.70,12746533397,17152846171,17643,0,175812416
r250000-1ms-tick1000-wt2,cand,3,2,250000,1ms,1000,2,512,1024,0-3,0,2499486.0,5.0,249948.6,10.029,8712.72,12992581115,17602691329,13216,2,179478167
r250000-1ms-tick1000-wt2,cand,4,1,250000,1ms,1000,2,512,1024,0-3,0,2499587.0,0,249958.7,10.029,8536.24,12748927294,17633175683,15491,4,176323460
r250000-1ms-tick1000-wt2,base,4,2,250000,1ms,1000,2,512,1024,0-3,0,2382197.0,117228.0,238219.7,11.029,8217.45,12311072504,17012274823,16334,4,175149782
r250000-1ms-tick1000-wt2,base,5,1,250000,1ms,1000,2,512,1024,0-3,0,2359128.0,140404.0,235912.8,11.032,8209.73,12256250598,16803573997,15672,5,166465605
r250000-1ms-tick1000-wt2,cand,5,2,250000,1ms,1000,2,512,1024,0-3,0,2499510.0,4.0,249951.0,10.030,9066.17,13471565225,17679780467,15101,6,178943417
r50000-0s-tick1000-wt16,base,0,warmup,50000,0s,1000,16,64,128,0-19,0,490351.0,9611.0,49035.1,11.034,18919.12,23974625097,12192696228,461509,412,117056780
r50000-0s-tick1000-wt16,cand,0,warmup,50000,0s,1000,16,64,128,0-19,0,499984.0,0,49998.4,10.033,22799.68,28880621420,15374813622,558799,259,120401907
r50000-0s-tick1000-wt16,base,1,1,50000,0s,1000,16,64,128,0-19,0,491374.0,8615.0,49137.4,11.033,18847.30,23781013493,12323697329,460146,788,114454092
r50000-0s-tick1000-wt16,cand,1,2,50000,0s,1000,16,64,128,0-19,0,499989.0,0,49998.9,10.031,25024.49,32061624370,17070493411,656740,262,130347650
r50000-0s-tick1000-wt16,cand,2,1,50000,0s,1000,16,64,128,0-19,0,499985.0,0,49998.5,10.032,23815.70,30417409049,16188829910,602033,289,123308286
r50000-0s-tick1000-wt16,base,2,2,50000,0s,1000,16,64,128,0-19,0,489404.0,10590.0,48940.4,11.032,20048.03,25488717439,13208604138,499078,338,121099880
r50000-0s-tick1000-wt16,base,3,1,50000,0s,1000,16,64,128,0-19,0,493075.0,6913.0,49307.5,11.033,17595.43,22609215251,11649293943,425537,398,115159892
r50000-0s-tick1000-wt16,cand,3,2,50000,0s,1000,16,64,128,0-19,0,499952.0,0,49995.2,10.030,23109.14,29951528400,15837958083,585527,437,123514418
r50000-0s-tick1000-wt16,cand,4,1,50000,0s,1000,16,64,128,0-19,0,499983.0,0,49998.3,10.032,22653.59,28972685027,15336156168,557345,321,121102815
r50000-0s-tick1000-wt16,base,4,2,50000,0s,1000,16,64,128,0-19,0,490805.0,9140.0,49080.5,11.033,18607.30,23937638991,12256782590,461271,227,114377007
r50000-0s-tick1000-wt16,base,5,1,50000,0s,1000,16,64,128,0-19,0,491938.0,7988.0,49193.8,11.032,18688.70,23738921959,12337780840,456521,2020,116888787
r50000-0s-tick1000-wt16,cand,5,2,50000,0s,1000,16,64,128,0-19,0,499956.0,0,49995.6,10.032,24084.96,30981154877,16399420131,619892,916,132350165
r150000-0s-tick1000-wt16,base,0,warmup,150000,0s,1000,16,64,128,0-19,0,699139.0,800694.0,69913.9,11.032,36087.75,47337549330,24854941613,943383,136,189378363
r150000-0s-tick1000-wt16,cand,0,warmup,150000,0s,1000,16,64,128,0-19,0,959174.0,540592.0,95917.4,10.033,34166.59,44128255447,23770249699,892368,237,165672565
r150000-0s-tick1000-wt16,base,1,1,150000,0s,1000,16,64,128,0-19,0,692282.0,807663.0,69228.2,11.032,36386.15,46835670813,24530951330,926927,547,185773238
r150000-0s-tick1000-wt16,cand,1,2,150000,0s,1000,16,64,128,0-19,0,965971.0,533955.0,96597.1,10.031,34011.63,45219062817,25414592180,897366,21894,183041802
r150000-0s-tick1000-wt16,cand,2,1,150000,0s,1000,16,64,128,0-19,0,958696.0,541162.0,95869.6,10.032,35004.93,45200375077,24296059988,926944,417,165529307
r150000-0s-tick1000-wt16,base,2,2,150000,0s,1000,16,64,128,0-19,0,687942.0,811818.0,68794.2,11.030,36360.77,47239371213,24748727450,942283,173,183384144
r150000-0s-tick1000-wt16,base,3,1,150000,0s,1000,16,64,128,0-19,0,707018.0,792812.0,70701.8,11.034,34713.70,45606074574,24469347187,879105,11637,194113368
r150000-0s-tick1000-wt16,cand,3,2,150000,0s,1000,16,64,128,0-19,0,958630.0,541280.0,95863.0,10.034,34190.58,44507118661,23867461697,912269,164,163407988
r150000-0s-tick1000-wt16,cand,4,1,150000,0s,1000,16,64,128,0-19,0,956056.0,543926.0,95605.6,10.033,34693.52,45298914493,24374792738,922574,248,166051717
r150000-0s-tick1000-wt16,base,4,2,150000,0s,1000,16,64,128,0-19,0,676980.0,822996.0,67698.0,11.033,36506.78,48789738164,26090099330,1025337,298,192133545
r150000-0s-tick1000-wt16,base,5,1,150000,0s,1000,16,64,128,0-19,0,681719.0,818005.0,68171.9,11.033,37090.76,48910536370,26086308390,1023719,275,192528631
r150000-0s-tick1000-wt16,cand,5,2,150000,0s,1000,16,64,128,0-19,0,955732.0,544201.0,95573.2,10.032,34377.56,45622680131,24484677063,948735,249,170384816
r250000-0s-tick1000-wt16,base,0,warmup,250000,0s,1000,16,64,128,0-19,0,685113.0,1814594.0,68511.3,11.033,38196.16,48814847918,26503421968,972253,235,196805979
