cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r150000-1ms-tick1000-wt2,cand,3,2,150000,1ms,1000,2,512,1024,0-3,0,1499807.0,0,149980.7,10.029,5150.19,10580827874,12284270704,14863,2,123797540
r150000-1ms-tick1000-wt2,cand,4,1,150000,1ms,1000,2,512,1024,0-3,0,1499715.0,0,149971.5,10.028,4936.33,11121815568,12798115458,15032,2,129370128
r150000-1ms-tick1000-wt2,base,4,2,150000,1ms,1000,2,512,1024,0-3,0,1499782.0,0,149978.2,11.030,4710.77,7606638645,10655017507,15989,7,101213596
r150000-1ms-tick1000-wt2,base,5,1,150000,1ms,1000,2,512,1024,0-3,0,1499711.0,0,149971.1,11.030,5074.49,7623587976,10632639335,15702,5,101788418
r150000-1ms-tick1000-wt2,cand,5,2,150000,1ms,1000,2,512,1024,0-3,0,1499714.0,0,149971.4,10.029,4816.68,11132755391,12812004476,15129,3,126512881
r250000-1ms-tick1000-wt2,base,0,warmup,250000,1ms,1000,2,512,1024,0-3,0,2401776.0,97490.0,240177.6,11.032,8507.51,12558625406,17139919309,17409,5,172193580
r250000-1ms-tick1000-wt2,cand,0,warmup,250000,1ms,1000,2,512,1024,0-3,0,2499619.0,0,249961.9,10.029,7205.46,15153799120,19021238012,14233,2,187766740
r250000-1ms-tick1000-wt2,base,1,1,250000,1ms,1000,2,512,1024,0-3,0,2374228.0,125074.0,237422.8,11.031,8192.81,11949525431,16832944785,15442,2,169554019
r250000-1ms-tick1000-wt2,cand,1,2,250000,1ms,1000,2,512,1024,0-3,0,2499659.0,0,249965.9,10.028,7884.67,14909432802,18643781759,14062,4,189223912
r250000-1ms-tick1000-wt2,cand,2,1,250000,1ms,1000,2,512,1024,0-3,0,2499595.0,5.0,249959.5,10.031,7840.28,14817439071,18539786094,13474,0,188978998
r250000-1ms-tick1000-wt2,base,2,2,250000,1ms,1000,2,512,1024,0-3,0,2416578.0,82944.0,241657.8,11.031,8546.75,12753801459,17233663594,19325,2,178266507
r250000-1ms-tick1000-wt2,base,3,1,250000,1ms,1000,2,512,1024,0-3,0,2396357.0,103179.0,239635.7,11.030,8425.07,12564424757,17049431023,19625,4,171686992
r250000-1ms-tick1000-wt2,cand,3,2,250000,1ms,1000,2,512,1024,0-3,0,2499537.0,0,249953.7,10.029,9205.97,14128383033,18091306220,12273,4,194842970
r250000-1ms-tick1000-wt2,cand,4,1,250000,1ms,1000,2,512,1024,0-3,0,2499538.0,0,249953.8,10.030,9275.31,13928250616,18357793219,11063,7,199321488
r250000-1ms-tick1000-wt2,base,4,2,250000,1ms,1000,2,512,1024,0-3,0,2374725.0,124619.0,237472.5,11.031,7931.61,11749349370,16853231598,16233,0,169917704
r250000-1ms-tick1000-wt2,base,5,1,250000,1ms,1000,2,512,1024,0-3,0,2390980.0,108678.0,239098.0,11.032,8234.43,12340625619,17032849816,16340,3,169232178
r250000-1ms-tick1000-wt2,cand,5,2,250000,1ms,1000,2,512,1024,0-3,0,2499637.0,0,249963.7,10.030,7957.95,14587186049,19039950627,12616,3,198000043
r50000-0s-tick1000-wt16,base,0,warmup,50000,0s,1000,16,64,128,0-19,0,492597.0,7373.0,49259.7,11.033,18147.87,23164830480,11981095719,424395,4559,114174188
r50000-0s-tick1000-wt16,cand,0,warmup,50000,0s,1000,16,64,128,0-19,0,499974.0,0,49997.4,10.032,33846.60,43288831149,23324257346,966471,297,155211350
r50000-0s-tick1000-wt16,base,1,1,50000,0s,1000,16,64,128,0-19,0,490760.0,9231.0,49076.0,11.033,18521.29,23195008421,11875053079,434767,413,113485026
r50000-0s-tick1000-wt16,cand,1,2,50000,0s,1000,16,64,128,0-19,0,499953.0,0,49995.3,10.031,32468.54,42445597156,22776831211,934176,590,156119071
r50000-0s-tick1000-wt16,cand,2,1,50000,0s,1000,16,64,128,0-19,0,499908.0,0,49990.8,10.034,33141.85,42353730929,23243053578,919043,7648,161013309
r50000-0s-tick1000-wt16,base,2,2,50000,0s,1000,16,64,128,0-19,0,491199.0,8757.0,49119.9,11.032,18706.29,23537006221,12949382481,474511,793,112805478
r50000-0s-tick1000-wt16,base,3,1,50000,0s,1000,16,64,128,0-19,0,491742.0,8195.0,49174.2,11.035,18541.82,23300390292,12739620146,470421,335,115372054
r50000-0s-tick1000-wt16,cand,3,2,50000,0s,1000,16,64,128,0-19,0,499949.0,0,49994.9,10.033,33534.28,44064086985,23990379060,1012582,579,164207994
r50000-0s-tick1000-wt16,cand,4,1,50000,0s,1000,16,64,128,0-19,0,499920.0,0,49992.0,10.029,34356.75,44309108733,23627774205,973117,2535,160747789
r50000-0s-tick1000-wt16,base,4,2,50000,0s,1000,16,64,128,0-19,0,486998.0,12983.0,48699.8,11.033,18804.52,24694144837,13378053126,480959,5893,129867716
r50000-0s-tick1000-wt16,base,5,1,50000,0s,1000,16,64,128,0-19,0,490276.0,9668.0,49027.6,11.033,18903.20,24507818793,13279657021,491595,2604,125435302
